,Protein ID,Reactome Pathway ID
0,A0A4V0IK35,R-CEL-5576894
1,O16638,R-CEL-5576894
2,O45313,R-CEL-5576894
3,Q95XD1,R-CEL-5576894
4,A0A0G2K548,R-RNO-5576890
5,A5HKJ1,R-RNO-5576890
6,O08962,R-RNO-5576890
7,P63161,R-RNO-5576890
8,Q71FD8,R-RNO-5576890
9,Q9JJV7,R-RNO-5576890
10,Q9Z0N7,R-RNO-5576890
11,A0A286ZW00,R-SSC-5576894
12,A0A5G2QNS8,R-SSC-5576894
13,A0A5G2QVE3,R-SSC-5576894
14,A0A5G2R345,R-SSC-5576894
15,F1S8T5,R-SSC-5576894
16,F1SBP4,R-SSC-5576894
17,F1SU60,R-SSC-5576894
18,A0A6I8Q036,R-XTR-5578775
19,A0A6I8Q1N1,R-XTR-5578775
20,A0A6I8QKL0,R-XTR-5578775
21,A0A6I8QV43,R-XTR-5578775
22,A0A6I8R0X3,R-XTR-5578775
23,A0A6I8R1S3,R-XTR-5578775
24,A0A6I8R9E9,R-XTR-5578775
25,A0A6I8RFN6,R-XTR-5578775
26,A0A6I8RIR9,R-XTR-5578775
27,A0A6I8RUQ4,R-XTR-5578775
28,A0A6I8S066,R-XTR-5578775
29,A0A6I8S1T2,R-XTR-5578775
30,A0A6I8S802,R-XTR-5578775
31,A0A6I8SA61,R-XTR-5578775
32,A0A6I8SDH6,R-XTR-5578775
33,A0A6I8SHG4,R-XTR-5578775
34,A0A6I8ST89,R-XTR-5578775
35,A0A6I8SWX1,R-XTR-5578775
36,A0A6I8SXB5,R-XTR-5578775
37,A0A6I8T142,R-XTR-5578775
38,A4ZYX8,R-XTR-5578775
39,F6SA45,R-XTR-5578775
40,F6WFU7,R-XTR-5578775
41,F6YMJ2,R-XTR-5578775
42,F7ECJ7,R-XTR-5578775
43,Q6P617,R-XTR-5578775
44,Q86K40,R-DDI-5576886
45,Q8T268,R-DDI-5576886
46,P62956,R-MMU-5576893
47,P97414,R-MMU-5576893
48,Q01815,R-MMU-5576893
49,Q6PHS9,R-MMU-5576893
50,Q70FJ1,R-MMU-5576893
51,Q8CC27,R-MMU-5576893
52,Q8R3Z5,R-MMU-5576893
53,Q8VHW2,R-MMU-5576893
54,Q8VHW3,R-MMU-5576893
55,Q9D808,R-MMU-5576893
56,Q9JJV4,R-MMU-5576893
57,Q9QZ26,R-MMU-5576893
58,Q9WTW2,R-MMU-5576893
59,Q9WTW3,R-MMU-5576893
60,A0A286Y962,R-DRE-5576894
61,A0A2R8QMM6,R-DRE-5576894
62,A0A2R8QQY2,R-DRE-5576894
63,B0UYF4,R-DRE-5576894
64,F1QHQ8,R-DRE-5576894
65,F1QR22,R-DRE-5576894
66,Q5VSI1,R-DRE-5576894
67,A0A287B4X9,R-SSC-5578768
68,P18104,R-SSC-5578768
69,A0A078BQJ0,R-CEL-5576892
70,G5EBI8,R-CEL-5576892
71,G5EDT2,R-CEL-5576892
72,G5EG74,R-CEL-5576892
73,O01661,R-CEL-5576892
74,P34374,R-CEL-5576892
75,Q8MQA1,R-CEL-5576892
76,O60939,R-HSA-5576892
77,P0DP23,R-HSA-5576892
78,P35498,R-HSA-5576892
79,P35499,R-HSA-5576892
80,P61328,R-HSA-5576892
81,P62955,R-HSA-5576892
82,Q01118,R-HSA-5576892
83,Q02641,R-HSA-5576892
