,Protein ID,Reactome Pathway ID
0,A0A0G2K548,R-RNO-5576890
1,A5HKJ1,R-RNO-5576890
2,O08962,R-RNO-5576890
3,P63161,R-RNO-5576890
4,Q71FD8,R-RNO-5576890
5,Q9JJV7,R-RNO-5576890
6,Q9Z0N7,R-RNO-5576890
7,A0A286ZW00,R-SSC-5576894
8,A0A5G2QNS8,R-SSC-5576894
9,A0A5G2QVE3,R-SSC-5576894
10,A0A5G2R345,R-SSC-5576894
11,F1S8T5,R-SSC-5576894
12,F1SBP4,R-SSC-5576894
13,F1SU60,R-SSC-5576894
14,P62956,R-MMU-5576893
15,P97414,R-MMU-5576893
16,Q01815,R-MMU-5576893
17,Q6PHS9,R-MMU-5576893
18,Q70FJ1,R-MMU-5576893
19,Q8CC27,R-MMU-5576893
20,Q8R3Z5,R-MMU-5576893
21,Q8VHW2,R-MMU-5576893
22,Q8VHW3,R-MMU-5576893
23,Q9D808,R-MMU-5576893
24,Q9JJV4,R-MMU-5576893
25,Q9QZ26,R-MMU-5576893
26,Q9WTW2,R-MMU-5576893
27,Q9WTW3,R-MMU-5576893
28,A0A287B4X9,R-SSC-5578768
29,P18104,R-SSC-5578768
30,O60939,R-HSA-5576892
31,P0DP23,R-HSA-5576892
32,P35498,R-HSA-5576892
33,P35499,R-HSA-5576892
34,P61328,R-HSA-5576892
35,P62955,R-HSA-5576892
36,Q01118,R-HSA-5576892
37,Q02641,R-HSA-5576892
38,Q07699,R-HSA-5576892
39,Q08289,R-HSA-5576892
40,Q13554,R-HSA-5576892
41,Q13555,R-HSA-5576892
42,Q13557,R-HSA-5576892
43,Q13936,R-HSA-5576892
44,Q14524,R-HSA-5576892
45,Q15858,R-HSA-5576892
46,Q8IWT1,R-HSA-5576892
47,Q8WXS5,R-HSA-5576892
48,Q92913,R-HSA-5576892
49,Q92914,R-HSA-5576892
50,Q92915,R-HSA-5576892
51,Q99250,R-HSA-5576892
52,Q9BXT2,R-HSA-5576892
53,Q9HD47,R-HSA-5576892
54,Q9NY46,R-HSA-5576892
55,Q9NY47,R-HSA-5576892
56,Q9NY72,R-HSA-5576892
57,Q9UBN1,R-HSA-5576892
58,Q9UI33,R-HSA-5576892
59,Q9UQD0,R-HSA-5576892
60,Q9UQM7,R-HSA-5576892
61,Q9Y5Y9,R-HSA-5576892
62,A0A286ZJB7,R-SSC-5576893
63,A0A286ZNE8,R-SSC-5576893
64,A0A287AB87,R-SSC-5576893
65,A0A287ANL1,R-SSC-5576893
66,A0A287B082,R-SSC-5576893
67,F1RNI9,R-SSC-5576893
68,F1RNJ2,R-SSC-5576893
69,F2Z4Y2,R-SSC-5576893
70,D3ZYK3,R-RNO-5576894
71,Q62897,R-RNO-5576894
72,Q8R426,R-RNO-5576894
73,Q99MG9,R-RNO-5576894
74,Q9JM47,R-RNO-5576894
75,Q9JM59,R-RNO-5576894
76,D3ZLR9,R-RNO-5576886
77,D4A806,R-RNO-5576886
78,G3V8R8,R-RNO-5576886
79,G3V8V5,R-RNO-5576886
80,M0R8B9,R-RNO-5576886
81,O54912,R-RNO-5576886
82,O70596,R-RNO-5576886
83,P52188,R-RNO-5576886
84,P52190,R-RNO-5576886
85,Q64273,R-RNO-5576886
86,Q6Q1P3,R-RNO-5576886
87,Q8R5I0,R-RNO-5576886
88,Q920B6,R-RNO-5576886
89,Q9ERS0,R-RNO-5576886
90,Q9ERS1,R-RNO-5576886
91,Q9ES08,R-RNO-5576886
92,Q9JIS4,R-RNO-5576886
93,Q9Z2T2,R-RNO-5576886
94,P01161,R-RNO-5578768
95,P16067,R-RNO-5578768
96,P18910,R-RNO-5578768
97,P55207,R-RNO-5578768
98,Q80YN4,R-RNO-5578768
99,Q6PIL6,R-HSA-5576894
100,Q9NS61,R-HSA-5576894
101,Q9NSA2,R-HSA-5576894
102,Q9NZI2,R-HSA-5576894
103,Q9NZV8,R-HSA-5576894
104,Q9UK17,R-HSA-5576894
105,Q9Y2W7,R-HSA-5576894
106,A0A0G2K2B5,R-RNO-5578775
107,B0LPN4,R-RNO-5578775
108,B5DFN2,R-RNO-5578775
109,D3ZYV4,R-RNO-5578775
110,F1LMY4,R-RNO-5578775
111,F1M7A1,R-RNO-5578775
