,Protein ID,Reactome Pathway ID
0,A0A096MK15,R-RNO-397014
1,A0A0G2K0D3,R-RNO-397014
2,A0A0G2K2B5,R-RNO-397014
3,A0A0G2K2W5,R-RNO-397014
4,A0A0G2K548,R-RNO-397014
5,A0A0G2K7B6,R-RNO-397014
6,A0A0G2K9Z7,R-RNO-397014
7,A0JPQ4,R-RNO-397014
8,A5HKJ1,R-RNO-397014
9,B0LPN4,R-RNO-397014
10,B2GV99,R-RNO-397014
11,B5DFN2,R-RNO-397014
12,D3ZA38,R-RNO-397014
13,D3ZCI9,R-RNO-397014
14,D3ZCV0,R-RNO-397014
15,D3ZFU9,R-RNO-397014
16,D3ZLR9,R-RNO-397014
17,D3ZMP9,R-RNO-397014
18,D3ZSG3,R-RNO-397014
19,D3ZYK3,R-RNO-397014
20,D3ZYV4,R-RNO-397014
21,D4A806,R-RNO-397014
22,F1LMY4,R-RNO-397014
23,F1LQQ7,R-RNO-397014
24,F1M7A1,R-RNO-397014
25,G3V7X1,R-RNO-397014
26,G3V852,R-RNO-397014
27,G3V8R8,R-RNO-397014
28,G3V8V5,R-RNO-397014
29,M0R8B9,R-RNO-397014
30,O08562,R-RNO-397014
31,O08589,R-RNO-397014
32,O08962,R-RNO-397014
33,O54912,R-RNO-397014
34,O70596,R-RNO-397014
35,O88420,R-RNO-397014
36,O88457,R-RNO-397014
37,P01161,R-RNO-397014
38,P02563,R-RNO-397014
39,P02600,R-RNO-397014
40,P04466,R-RNO-397014
41,P04692,R-RNO-397014
42,P04774,R-RNO-397014
43,P04775,R-RNO-397014
44,P06685,R-RNO-397014
45,P06686,R-RNO-397014
46,P06687,R-RNO-397014
47,P07340,R-RNO-397014
48,P08104,R-RNO-397014
49,P08413,R-RNO-397014
50,P08733,R-RNO-397014
51,P09495,R-RNO-397014
52,P09739,R-RNO-397014
53,P0DP31,R-RNO-397014
54,P11275,R-RNO-397014
55,P11505,R-RNO-397014
56,P11506,R-RNO-397014
57,P11507,R-RNO-397014
58,P11530,R-RNO-397014
59,P11730,R-RNO-397014
60,P12847,R-RNO-397014
61,P13413,R-RNO-397014
62,P13638,R-RNO-397014
63,P13832,R-RNO-397014
64,P15389,R-RNO-397014
65,P15390,R-RNO-397014
66,P15791,R-RNO-397014
67,P16067,R-RNO-397014
68,P16409,R-RNO-397014
69,P17209,R-RNO-397014
70,P18596,R-RNO-397014
71,P18614,R-RNO-397014
72,P18666,R-RNO-397014
73,P18910,R-RNO-397014
74,P19633,R-RNO-397014
75,P22002,R-RNO-397014
76,P23693,R-RNO-397014
77,P27768,R-RNO-397014
78,P27791,R-RNO-397014
79,P29476,R-RNO-397014
80,P29994,R-RNO-397014
81,P29995,R-RNO-397014
82,P31000,R-RNO-397014
83,P35465,R-RNO-397014
84,P48675,R-RNO-397014
85,P48768,R-RNO-397014
86,P50753,R-RNO-397014
87,P51638,R-RNO-397014
88,P51868,R-RNO-397014
89,P52188,R-RNO-397014
90,P52190,R-RNO-397014
91,P54283,R-RNO-397014
92,P54900,R-RNO-397014
93,P55207,R-RNO-397014
94,P56741,R-RNO-397014
95,P58775,R-RNO-397014
96,P59645,R-RNO-397014
97,P59649,R-RNO-397014
98,P61016,R-RNO-397014
99,P61150,R-RNO-397014
100,P62738,R-RNO-397014
101,P62957,R-RNO-397014
102,P63161,R-RNO-397014
103,P63269,R-RNO-397014
104,P68035,R-RNO-397014
105,P68136,R-RNO-397014
106,P70549,R-RNO-397014
107,P70566,R-RNO-397014
108,P70567,R-RNO-397014
109,P70673,R-RNO-397014
110,P84903,R-RNO-397014
111,P85972,R-RNO-397014
112,P97534,R-RNO-397014
113,Q00954,R-RNO-397014
114,Q01728,R-RNO-397014
115,Q04679,R-RNO-397014
116,Q304F3,R-RNO-397014
117,Q4PP99,R-RNO-397014
118,Q5M883,R-RNO-397014
119,Q5XIL4,R-RNO-397014
120,Q62736,R-RNO-397014
121,Q62897,R-RNO-397014
122,Q62968,R-RNO-397014
123,Q63113,R-RNO-397014
124,Q63269,R-RNO-397014
125,Q63377,R-RNO-397014
126,Q63563,R-RNO-397014
127,Q64122,R-RNO-397014
128,Q64273,R-RNO-397014
129,Q64303,R-RNO-397014
130,Q64541,R-RNO-397014
131,Q64542,R-RNO-397014
132,Q64568,R-RNO-397014
133,Q66H76,R-RNO-397014
134,Q6AXW2,R-RNO-397014
135,Q6Q1P3,R-RNO-397014
136,Q71FD8,R-RNO-397014
137,Q7M730,R-RNO-397014
138,Q7TNB2,R-RNO-397014
139,Q80YN4,R-RNO-397014
140,Q8CFG6,R-RNO-397014
141,Q8R426,R-RNO-397014
142,Q8R4I6,R-RNO-397014
143,Q8R5I0,R-RNO-397014
144,Q8R5L7,R-RNO-397014
145,Q8VGC3,R-RNO-397014
146,Q8VHW5,R-RNO-397014
147,Q8VHW7,R-RNO-397014
148,Q8VHW9,R-RNO-397014
149,Q91XV6,R-RNO-397014
150,Q920B6,R-RNO-397014
151,Q99MG9,R-RNO-397014
152,Q9ERS0,R-RNO-397014
153,Q9ERS1,R-RNO-397014
154,Q9ERW3,R-RNO-397014
155,Q9ES08,R-RNO-397014
156,Q9JIS4,R-RNO-397014
157,Q9JJV7,R-RNO-397014
158,Q9JK00,R-RNO-397014
159,Q9JM47,R-RNO-397014
160,Q9JM59,R-RNO-397014
161,Q9QX01,R-RNO-397014
162,Q9QX75,R-RNO-397014
163,Q9Z0N7,R-RNO-397014
164,Q9Z2T2,R-RNO-397014
165,A0A286ZI93,R-SSC-397014
166,A0A286ZJB7,R-SSC-397014
167,A0A286ZJC9,R-SSC-397014
168,A0A286ZK85,R-SSC-397014
169,A0A286ZL64,R-SSC-397014
170,A0A286ZLV7,R-SSC-397014
171,A0A286ZLY4,R-SSC-397014
172,A0A286ZMZ4,R-SSC-397014
173,A0A286ZNE8,R-SSC-397014
174,A0A286ZRK2,R-SSC-397014
